name,category,container,instructions,image,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
Japanese Fizz,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,1 tblsp,1 ,,,,,,,,,,
A midsummernight dream,Ordinary Drink,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",https://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,5 ,,,,,,,,,,,
Penicillin,Cocktail,Old-fashioned glass,"Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg,Blended Scotch,Lemon Juice,Honey syrup,Ginger Syrup,Islay single malt Scotch,,,,,,,,,,,2 oz,3/4 oz,2 tsp,2 tsp,1/4 oz,,,,,,,,,,
Queen Elizabeth,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,1 1/2 tsp ,,,,,,,,,,,,
Mississippi Planters Punch,Ordinary Drink,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Brandy,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,Juice of 1/2,1 tblsp,,,,,,,,,,
Frappé,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,Coffee,Milk,Sugar,,,,,,,,,,,,,1/2 cup black ,1/2 cup ,1-2 tsp ,,,,,,,,,,,,
Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,1 1/4 tsp ,1 twist of ,,,,,,,,,,,
Monkey Gland,Ordinary Drink,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Gin,Benedictine,Orange juice,Grenadine,,,,,,,,,,,,2 oz ,1 tsp ,1/2 oz ,1 tsp ,,,,,,,,,,,
Coffee-Vodka,Homemade Liqueur,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,,,,,,2 cups ,2 cups white ,1/2 cup instant ,1/2,1 1/2 cup,,,,,,,,,,
Queen Bee,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Coffee brandy,Lime vodka,Sherry,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz cream ,,,,,,,,,,,,
Caipirissima,Ordinary Drink,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Lime,Sugar,White rum,Ice,,,,,,,,,,,,2 ,2 tblsp ,2-3 oz ,crushed ,,,,,,,,,,,
Big Red,Shot,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,
Halloween Punch,Punch / Party Drink,Punch bowl,"Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",https://www.thecocktaildb.com/images/media/drink/7hcgyj1571687671.jpg,Cherry Juice,Orange Peel,Red Chili Flakes,Cloves,Ginger,Vodka,,,,,,,,,,1 bottle,3,1,10,6,20 cl,,,,,,,,,
Rum Runner,Punch / Party Drink,Cocktail glass,Mix all ingredients in glass & add ice.,https://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Malibu rum,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,,,,,,,,,,1 1/2 oz ,1 oz ,3-4 oz ,3-4 oz ,3-4 oz ,,,,,,,,,,
Kiwi Papaya Smoothie,Other / Unknown,Highball Glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Kiwi,Papaya,,,,,,,,,,,,,,3 ,1/2 ,,,,,,,,,,,,,
Autodafé,Ordinary Drink,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,
Almond Joy,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,
Smashed Watermelon Margarita,Cocktail,Collins glass,"In a mason jar muddle the watermelon and 5 mint leaves together into a puree and strain. Next add the grapefruit juice, juice of half a lime and the tequila as well as some ice. Put a lid on the jar and shake. Pour into a glass and add more ice. Garnish with fresh mint and a small slice of watermelon.",https://www.thecocktaildb.com/images/media/drink/dztcv51598717861.jpg,Watermelon,Mint,Grapefruit Juice,Lime,Tequila,Watermelon,Mint,,,,,,,,,1/2 cup,5,1/3 Cup,Juice of 1/2,1 shot,Garnish with,Garnish with,,,,,,,,
Quick F**K,Shot,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",https://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Kahlua,Midori melon liqueur,Baileys irish cream,,,,,,,,,,,,,1 part ,1 part ,1 part ,,,,,,,,,,,,
Corpse Reviver,Cocktail,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,3/4 oz,1 dash,,,,,,,,,,
Gin Fizz,Ordinary Drink,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,
Passion Fruit Martini,Cocktail,Cocktail glass,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,https://www.thecocktaildb.com/images/media/drink/6trfve1582473527.jpg,Vodka,Sugar Syrup,Passion fruit juice,,,,,,,,,,,,,1 shot,1/2 shot,Full Glass,,,,,,,,,,,,
Karsk,Ordinary Drink,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Coffee,Grain alcohol,,,,,,,,,,,,,,1 part ,2 parts ,,,,,,,,,,,,,
Lemon Shot,Shot,Shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Galliano,Absolut Citron,Lemon,Sugar,151 proof rum,,,,,,,,,,,1/2 oz ,1/2 oz ," wedge
",Bacardi ,,,,,,,,,,,
Paradise,Ordinary Drink,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,,,,7 parts,4 parts,3 parts ,,,,,,,,,,,,
Jam Donut,Shot,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Baileys irish cream,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,,,,,,,2/3 oz,1/3 oz,1 tsp,2 pinches,,,,,,,,,,,
After Dinner Cocktail,Ordinary Drink,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1 ,,,,,,,,,,,
Spritz,Ordinary Drink,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Prosecco,Campari,Soda Water,,,,,,,,,,,,,6 cl,4 cl,splash,,,,,,,,,,,,
Zorbatini,Cocktail,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,https://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg,Vodka,Ouzo,,,,,,,,,,,,,,1 1/4 oz Stoli ,1/4 oz ,,,,,,,,,,,,,
Hunter's Moon,Cocktail,Balloon Glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,,,,,,,25 ml,15 ml,10 ml,100 ml,2,,,,,,,,,,
Orange Rosemary Collins,Cocktail,Highball glass,Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,https://www.thecocktaildb.com/images/media/drink/mokcas1604179977.jpg,Gin,Orange Juice,Lemon Juice,Rosemary Syrup,Soda Water,Rosemary,Orange Peel,,,,,,,,,1 shot,Top,Top,25 ml,Top,Garnish with,Garnish with,,,,,,,,
Bruised Heart,Shot,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",https://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,
Jitterbug,Cocktail,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,
Alaska Cocktail,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,,,,,,
Tommy's Margarita,Ordinary Drink,Old-Fashioned glass,Shake and strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Tequila,Lime Juice,Agave syrup,,,,,,,,,,,,,4.5 cl,1.5 cl,2 spoons,,,,,,,,,,,,
Queen Charlotte,Ordinary Drink,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,,,,2 oz ,1 oz ,,,,,,,,,,,,,
Adam & Eve,Cocktail,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,
Margarita,Ordinary Drink,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,Tequila,Triple sec,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,
Waikiki Beachcomber,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,Triple sec,Gin,Pineapple juice,,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 tblsp ,,,,,,,,,,,,
Derby,Ordinary Drink,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,gin,Peach Bitters,Mint,,,,,,,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,,,,,,,
A True Amaretto Sour,Cocktail,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,,1 jigger ,Juice of 1/2 ,,,,,,,,,,,,,
Cherry Electric Lemonade,Cocktail,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Banana Strawberry Shake Daiquiri,Shake,Cocktail Glass,Blend all together in a blender until smooth.,https://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Strawberries,Banana,Apple juice,,,,,,,,,,,,,1/2 lb frozen ,1 frozen ,2 cups fresh ,,,,,,,,,,,,
Amaretto Shake,Ordinary Drink,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,,2 scoops ,2 oz ,2 oz ,,,,,,,,,,,,
Casino,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,
Monkey Wrench,Ordinary Drink,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg,Light rum,Grapefruit juice,Bitters,,,,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,,,,,,,,,,,,
AT&T,Ordinary Drink,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,
Gin and Soda,Cocktail,Highball glass,"Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,Gin,Soda Water,Lime,,,,,,,,,,,,,2 oz,5 oz,1/4,,,,,,,,,,,,
Champagne Cocktail,Ordinary Drink,Champagne flute,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/t5pv461606773026.jpg,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,,,,,,Chilled ,1 piece ,2 dashes ,1 twist of ,1 dash,,,,,,,,,,
Amaretto Sunset,Ordinary Drink,Collins Glass,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Triple sec,Amaretto,Cider,Ice,,,,,,,,,,,,1/2 jigger ,3 shots ,1/2 cup ,Add 1/2 cup ,,,,,,,,,,,
Raspberry Cooler,Other / Unknown,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Raspberry vodka,Lemon-lime soda,Ice,,,,,,,,,,,,,2 oz ,4 oz ,,,,,,,,,,,,,
Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,,,,,,,1/2 oz ,1 oz ,1 oz ,1 tsp ,1 oz ,,,,,,,,,,
Artillery Punch,Punch / Party Drink,Punch bowl,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel.",https://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,Tea,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,,,,,,,,1 quart black ,1 quart ,1 fifth ,1 pint Jamaican ,1/2 pint ,1 1/2 oz ,1 pint ,1/2 pint ,,,,,,,
Atlantic Sun,Ordinary Drink,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,,,,,,,
Bee's Knees,Cocktail,Martini Glass,"Shake ingredients with crushed ice
Garnish with orange peel",https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg,Gold rum,Orange Juice,Lime Juice,Triple Sec,,,,,,,,,,,,6 cl,2 cl,2 cl,2 jiggers,,,,,,,,,,,
Zinger,Soft Drink,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,https://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg,Peachtree schnapps,Surge,,,,,,,,,,,,,,4 shots ,4 shots ,,,,,,,,,,,,,
Pure Passion,Cocktail,Whiskey sour glass,Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,https://www.thecocktaildb.com/images/media/drink/4tymma1604179273.jpg,Rum,Passoa,Lime Juice,Passion fruit syrup,Peach Bitters,Mint,,,,,,,,,,40 ml,20 ml,30 ml,15 ml,Dash,Garnish with,,,,,,,,,
Captain Kidd's Punch,Cocktail,Collins glass,Mix all ingredients together in a shaker and strain into a collins glass. Use Caribbean dark Rum for a sweeter taste.,https://www.thecocktaildb.com/images/media/drink/d83spj1596017390.jpg,Rum,Lime Juice,Egg White,Bitters,Sugar,Nutmeg,,,,,,,,,,2 shots,1 shot,1 shot,1 dash,Ground,Top,,,,,,,,,
Orgasm,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,,,,,,,1/2 oz white ,1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,
Vodka Martini,Ordinary Drink,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",https://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,
Dragonfly,Ordinary Drink,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,Gin,Ginger ale,Lime,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 ,,,,,,,,,,,,
Zorro,Coffee / Tea,Coffee Mug,add all and pour black coffee and add whipped cream on top.,https://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg,Sambuca,Baileys irish cream,White Creme de Menthe,,,,,,,,,,,,,2 cl ,2 cl ,2 cl ,,,,,,,,,,,,
Spiced Peach Punch,Punch / Party Drink,Collins Glass,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",https://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Peach nectar,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,,,,,,,46 oz ,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp ,,,,,,,,,
Vampiro,Ordinary Drink,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,,,,,,,6 cl,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,,,,,,
Amaretto And Cream,Ordinary Drink,Cocktail glass,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Amaretto,Light cream,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,,,
Porto flip,Ordinary Drink,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Brandy,Port,Egg Yolk,,,,,,,,,,,,,3 parts,9 parts,2 parts,,,,,,,,,,,,
Tequila Slammer,Shot,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,https://www.thecocktaildb.com/images/media/drink/43uhr51551451311.jpg,Tequila,7-up,,,,,,,,,,,,,,1 shot,1 part,,,,,,,,,,,,,
Elderflower Caipirinha,Cocktail,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,Cachaca,Lime,Elderflower cordial,,,,,,,,,,,,,60 ml,1,3 cl,,,,,,,,,,,,
Bluebird,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,,,,,,
Valencia Cocktail,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Apricot brandy,Orange juice,Orange bitters,,,,,,,,,,,,,1 1/2 oz ,1 tblsp ,2 dashes ,,,,,,,,,,,,
A Furlong Too Late,Ordinary Drink,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,,,2 oz ,4 oz ,1 twist of ,,,,,,,,,,,,
Apricot punch,Punch / Party Drink,Punch bowl,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,https://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,,,,1 qt ,4 fifth ,1 fifth ,4 L ,1/2 gal ,,,,,,,,,,
Bounty Hunter,Cocktail,Margarita glass,"Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.",https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg,Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,,,,,,,1 shot,1 shot,Garnish with,Dash,Top,,,,,,,,,,
